sector,short,date,loss
11,agriculture,2020-02-26,0.0000325813057192977
11,agriculture,2020-02-27,0.0000398358918429061
11,agriculture,2020-02-28,0.0000654004228185876
11,agriculture,2020-02-29,0.000105776833885877
11,agriculture,2020-03-01,0.000180890837678223
11,agriculture,2020-03-02,0.000285074464027482
11,agriculture,2020-03-03,0.000432201329605944
11,agriculture,2020-03-04,0.000643998747170549
11,agriculture,2020-03-05,0.000931114125636597
11,agriculture,2020-03-06,0.00134587575812973
11,agriculture,2020-03-07,0.00191147120397574
11,agriculture,2020-03-08,0.00266918431348303
11,agriculture,2020-03-09,0.00371156937104682
11,agriculture,2020-03-10,0.00517146149395354
11,agriculture,2020-03-11,0.00709940111754232
11,agriculture,2020-03-12,0.00973415340205109
11,agriculture,2020-03-13,0.0131707799826069
11,agriculture,2020-03-14,0.017754774272264
11,agriculture,2020-03-15,0.0237523649489286
11,agriculture,2020-03-16,0.0313808971076942
11,agriculture,2020-03-17,0.041307668994846
11,agriculture,2020-03-18,0.0542445806119929
11,agriculture,2020-03-19,0.0709330309375725
11,agriculture,2020-03-20,0.0894329073831501
11,agriculture,2020-03-21,0.108358271921617
11,agriculture,2020-03-22,0.127328411236508
11,agriculture,2020-03-23,0.146649745133875
11,agriculture,2020-03-24,0.166139067043118
11,agriculture,2020-03-25,0.18577953544081
11,agriculture,2020-03-26,0.206215524994296
11,agriculture,2020-03-27,0.227714499760267
11,agriculture,2020-03-28,0.251161768782836
11,agriculture,2020-03-29,0.276715270092632
11,agriculture,2020-03-30,0.305000464448444
11,agriculture,2020-03-31,0.33651049960366
11,agriculture,2020-04-01,0.372180774595861
11,agriculture,2020-04-02,0.412708742480545
11,agriculture,2020-04-03,0.458922366094745
11,agriculture,2020-04-04,0.511692985508762
11,agriculture,2020-04-05,0.572018150550728
11,agriculture,2020-04-06,0.640953000368175
11,agriculture,2020-04-07,0.719850656379505
11,agriculture,2020-04-08,0.809942002422852
11,agriculture,2020-04-09,0.911713720846496
11,agriculture,2020-04-10,1.02656659660373
11,agriculture,2020-04-11,1.15651665502079
11,agriculture,2020-04-12,1.30311245027639
11,agriculture,2020-04-13,1.4678656585288
11,agriculture,2020-04-14,1.65218561620756
11,agriculture,2020-04-15,1.85851458152562
11,agriculture,2020-04-16,2.08929407672553
11,agriculture,2020-04-17,2.3451078149185
11,agriculture,2020-04-18,2.62929686663623
11,agriculture,2020-04-19,2.9437619241467
11,agriculture,2020-04-20,3.29021887217837
11,agriculture,2020-04-21,3.67101162380028
11,agriculture,2020-04-22,4.08876898802276
11,agriculture,2020-04-23,4.5457710335302
11,agriculture,2020-04-24,5.04224098020003
11,agriculture,2020-04-25,5.58091020249614
11,agriculture,2020-04-26,6.16403825311219
11,agriculture,2020-04-27,6.7913402984615
11,agriculture,2020-04-28,7.46282935654691
11,agriculture,2020-04-29,8.18011851850569
11,agriculture,2020-04-30,8.9445387838571
11,agriculture,2020-05-01,9.75626091044352
11,agriculture,2020-05-02,10.6145898843792
11,agriculture,2020-05-03,11.5198495925475
11,agriculture,2020-05-04,12.471415626759
11,agriculture,2020-05-05,13.467684262877
11,agriculture,2020-05-06,14.5061826042862
11,agriculture,2020-05-07,15.5858232969592
11,agriculture,2020-05-08,16.7047971329935
11,agriculture,2020-05-09,17.8629856680245
11,agriculture,2020-05-10,19.0575552884199
11,agriculture,2020-05-11,20.2899166104044
11,agriculture,2020-05-12,21.5583756633107
11,agriculture,2020-05-13,22.8607711051376
11,agriculture,2020-05-14,24.1934980926745
11,agriculture,2020-05-15,25.5550345943612
11,agriculture,2020-05-16,26.9417661883931
11,agriculture,2020-05-17,28.3530031206307
11,agriculture,2020-05-18,29.7845005190123
11,agriculture,2020-05-19,31.2369708976605
11,agriculture,2020-05-20,32.70155371558
11,agriculture,2020-05-21,34.176614203814
11,agriculture,2020-05-22,35.6560247218604
11,agriculture,2020-05-23,37.1325045224495
11,agriculture,2020-05-24,38.5983219347883
11,agriculture,2020-05-25,40.0447209859638
11,agriculture,2020-05-26,41.4641618593174
11,agriculture,2020-05-27,42.8517440695653
11,agriculture,2020-05-28,44.1967911836658
11,agriculture,2020-05-29,45.4910073501808
11,agriculture,2020-05-30,46.7229848204731
11,agriculture,2020-05-31,47.8857123985879
11,agriculture,2020-06-01,48.9722117569765
11,agriculture,2020-06-02,49.9752259124642
11,agriculture,2020-06-03,50.8858276732258
11,agriculture,2020-06-04,51.6982886538239
11,agriculture,2020-06-05,52.4084412288531
11,agriculture,2020-06-06,53.0109093433683
11,agriculture,2020-06-07,53.5024945708766
11,agriculture,2020-06-08,53.8811810729138
11,agriculture,2020-06-09,54.1474441722605
11,agriculture,2020-06-10,54.3002000364703
11,agriculture,2020-06-11,54.3410514380349
11,agriculture,2020-06-12,54.2766073928735
11,agriculture,2020-06-13,54.1078348509056
11,agriculture,2020-06-14,53.8401553343755
11,agriculture,2020-06-15,53.4767645749189
11,agriculture,2020-06-16,53.0247069909728
11,agriculture,2020-06-17,52.4911575555678
11,agriculture,2020-06-18,51.8855120429603
11,agriculture,2020-06-19,51.2113474361289
11,agriculture,2020-06-20,50.4757018650565
11,agriculture,2020-06-21,49.6835940906916
11,agriculture,2020-06-22,48.8401443435299
11,agriculture,2020-06-23,47.9537298965619
11,agriculture,2020-06-24,47.029186431285
