intervention,date,loss
none,2020-02-26,0.00156077043469886
none,2020-02-27,0.00326039449921865
none,2020-02-28,0.00865500979687461
none,2020-02-29,0.0164362143664652
none,2020-03-01,0.0271917244421428
none,2020-03-02,0.0440432618918749
none,2020-03-03,0.0697279751925837
none,2020-03-04,0.108505177682528
none,2020-03-05,0.166831355604122
none,2020-03-06,0.243561154881804
none,2020-03-07,0.350825929260012
none,2020-03-08,0.49620243381795
none,2020-03-09,0.684649043368001
none,2020-03-10,0.944160931710736
none,2020-03-11,1.29971247648369
none,2020-03-12,1.77423034641614
none,2020-03-13,2.3970398097556
none,2020-03-14,3.20465837627205
none,2020-03-15,4.40649408163253
none,2020-03-16,5.81376763025507
none,2020-03-17,7.5576114154247
none,2020-03-18,9.74779910629201
none,2020-03-19,12.5463286069456
none,2020-03-20,15.0901606589287
none,2020-03-21,17.477739227033
none,2020-03-22,19.8081008572646
none,2020-03-23,22.21574674149
none,2020-03-24,24.7203465517302
none,2020-03-25,27.3569226080711
none,2020-03-26,30.1550038062678
none,2020-03-27,33.2046186125887
none,2020-03-28,36.5835548595919
none,2020-03-29,40.3750313454986
none,2020-03-30,44.643345083785
none,2020-03-31,49.5092393975459
none,2020-04-01,55.0505502811921
none,2020-04-02,61.4024666186217
none,2020-04-03,68.6685827963886
none,2020-04-04,76.9868071500898
none,2020-04-05,86.4917203817308
none,2020-04-06,97.3081795990633
none,2020-04-07,109.596830179487
none,2020-04-08,123.502575451057
none,2020-04-09,139.205593537995
none,2020-04-10,156.94065936174
none,2020-04-11,176.89644755269
none,2020-04-12,199.293934041299
none,2020-04-13,224.400358993619
none,2020-04-14,252.424776690142
none,2020-04-15,283.642426933392
none,2020-04-16,318.383644865173
none,2020-04-17,356.869722589723
none,2020-04-18,399.400057149806
none,2020-04-19,446.266634310603
none,2020-04-20,497.676075702705
none,2020-04-21,553.920047986219
none,2020-04-22,615.284279605308
none,2020-04-23,681.918177439798
none,2020-04-24,754.08493633046
none,2020-04-25,831.90013805108
none,2020-04-26,915.405498810934
none,2020-04-27,1004.77051525282
none,2020-04-28,1099.99189452483
none,2020-04-29,1201.15470806026
none,2020-04-30,1308.06588922422
none,2020-05-01,1420.74412845408
none,2020-05-02,1539.05607362364
none,2020-05-03,1662.87558879008
none,2020-05-04,1791.85320478405
none,2020-05-05,1925.74209382208
none,2020-05-06,2064.40313345444
none,2020-05-07,2207.57782100079
none,2020-05-08,2354.8108119925
none,2020-05-09,2505.87595064744
none,2020-05-10,2660.67025039816
none,2020-05-11,2818.70856836921
none,2020-05-12,2979.6995966565
none,2020-05-13,3143.25517787248
none,2020-05-14,3308.94529566534
none,2020-05-15,3476.16946768715
none,2020-05-16,3644.66535352088
none,2020-05-17,3813.78645278198
none,2020-05-18,3982.67014582969
none,2020-05-19,4150.70204593745
none,2020-05-20,4317.0882728046
none,2020-05-21,4481.05059475733
none,2020-05-22,4641.66789086808
none,2020-05-23,4798.00509647768
none,2020-05-24,4949.09402847347
none,2020-05-25,5093.85698178887
none,2020-05-26,5231.36700375977
none,2020-05-27,5360.67422302703
none,2020-05-28,5480.63938757134
none,2020-05-29,5590.46061313009
none,2020-05-30,5689.3301823315
none,2020-05-31,5776.29159570633
none,2020-06-01,5850.71838624765
none,2020-06-02,5912.11033443864
none,2020-06-03,5959.9813004725
none,2020-06-04,5994.09001571106
none,2020-06-05,6014.22715905603
none,2020-06-06,6020.23282640413
none,2020-06-07,6012.47557100673
none,2020-06-08,5991.03523269194
none,2020-06-09,5956.46659083916
none,2020-06-10,5909.28515267402
none,2020-06-11,5849.98987211092
none,2020-06-12,5779.38316280036
none,2020-06-13,5698.22966265991
none,2020-06-14,5607.36393410726
none,2020-06-15,5507.71322419769
none,2020-06-16,5400.26421064461
none,2020-06-17,5285.72889395012
none,2020-06-18,5165.24407027291
none,2020-06-19,5039.74070553014
none,2020-06-20,4910.27795127652
none,2020-06-21,4777.70863476145
none,2020-06-22,4642.82563167085
none,2020-06-23,4506.47066561325
none,2020-06-24,4369.34101756573
none,2020-06-25,4232.08624481663
none,2020-06-26,4095.37913802359
none,2020-06-27,3959.73391043683
none,2020-06-28,3825.67340410705
none,2020-06-29,3693.64239238081
none,2020-06-30,3563.93689001281
none,2020-07-01,3436.9396394172
none,2020-07-02,3312.89279389223
none,2020-07-03,3191.99736081276
none,2020-07-04,3074.47444950458
none,2020-07-05,2960.44869538968
none,2020-07-06,2849.93479897209
none,2020-07-07,2743.01019484495
none,2020-07-08,2639.67743116068
none,2020-07-09,2540.00008676062
none,2020-07-10,2443.88790550913
none,2020-07-11,2351.40994894249
none,2020-07-12,2262.48088338529
none,2020-07-13,2177.04105481248
none,2020-07-14,2094.94183713541
none,2020-07-15,2016.01575006528
none,2020-07-16,1940.15232140356
none,2020-07-17,1867.30204203452
none,2020-07-18,1797.2784843473
none,2020-07-19,1730.06611852574
none,2020-07-20,1665.50766142326
none,2020-07-21,1603.43505869924
none,2020-07-22,1543.85767196141
none,2020-07-23,1486.6176990211
none,2020-07-24,1431.63548000608
none,2020-07-25,1378.8375080222
none,2020-07-26,1328.01467109402
none,2020-07-27,1279.20928269096
none,2020-07-28,1232.26378204814
none,2020-07-29,1187.12116126962
none,2020-07-30,1143.71711634097
none,2020-07-31,1101.90768261116
none,2020-08-01,1061.63312777801
none,2020-08-02,1022.90475214404
none,2020-08-03,985.600760777345
none,2020-08-04,949.670186823925
none,2020-08-05,915.036629393561
none,2020-08-06,881.687251228759
none,2020-08-07,849.556145253696
none,2020-08-08,818.565433059709
none,2020-08-09,788.668869479806
none,2020-08-10,759.791731101407
none,2020-08-11,731.955373243174
none,2020-08-12,705.088325584947
none,2020-08-13,679.175123135488
none,2020-08-14,654.157472749038
none,2020-08-15,630.058430197288
none,2020-08-16,606.807567328816
none,2020-08-17,584.372734146746
none,2020-08-18,562.735322447653
none,2020-08-19,541.895481828274
none,2020-08-20,521.857160485362
none,2020-08-21,502.587770521989
none,2020-08-22,484.033819515035
none,2020-08-23,466.178052896012
none,2020-08-24,449.010789465606
none,2020-08-25,432.509924235997
none,2020-08-26,416.629608380847
none,2020-08-27,401.385150437959
none,2020-08-28,386.713361137651
none,2020-08-29,372.629403195287
none,2020-08-30,359.124183729868
none,2020-08-31,346.192235754427
none,2020-09-01,333.799619966295
none,2020-09-02,321.897182424605
none,2020-09-03,310.494506255888
none,2020-09-04,299.60371391037
none,2020-09-05,289.203181873362
none,2020-09-06,279.277614568819
none,2020-09-07,269.764232402899
none,2020-09-08,260.708399245972
none,2020-09-09,252.043270734449
none,2020-09-10,243.775454544874
none,2020-09-11,235.888445563383
none,2020-09-12,228.356838524967
none,2020-09-13,221.19163459205
none,2020-09-14,214.368630708232
none,2020-09-15,207.866004432914
none,2020-09-16,201.684554900659
none,2020-09-17,195.817538656595
none,2020-09-18,190.233786915188
none,2020-09-19,184.940406998717
none,2020-09-20,179.912121224744
none,2020-09-21,175.159751183662
none,2020-09-22,170.635875534293
none,2020-09-23,166.344506431509
none,2020-09-24,162.273684826148
none,2020-09-25,158.42018352453
none,2020-09-26,154.77312083919
none,2020-09-27,151.313764556163
none,2020-09-28,148.040235529047
none,2020-09-29,144.944666827651
none,2020-09-30,142.011661273959
none,2020-10-01,139.242188362897
none,2020-10-02,136.632658393505
none,2020-10-03,134.173914337575
none,2020-10-04,131.837135371045
none,2020-10-05,129.627782556707
none,2020-10-06,127.533661821252
