cell,rep,total_deaths,averted,shcomp,duration
VHI_80_SH_80_45,7,4651,113100,80,45
VHI_80_SH_80_45,8,6019,111126,80,45
VHI_80_SH_80_45,9,3735,114180,80,45
VHI_80_SH_80_45,10,7938,109863,80,45
VHI_80_SH_80_45,11,9422,107557,80,45
VHI_80_SH_80_45,12,8899,109005,80,45
VHI_80_SH_80_45,13,7615,110752,80,45
VHI_80_SH_80_45,14,3813,114088,80,45
VHI_80_SH_80_45,15,11483,106659,80,45
VHI_80_SH_80_60,1,3503,114661,80,60
VHI_80_SH_80_60,2,3813,114138,80,60
VHI_80_SH_80_60,3,3829,113292,80,60
VHI_80_SH_80_60,4,4778,113267,80,60
VHI_80_SH_80_60,5,3768,113944,80,60
VHI_80_SH_80_60,6,3637,114767,80,60
VHI_80_SH_80_60,7,3420,114331,80,60
VHI_80_SH_80_60,8,5206,111939,80,60
VHI_80_SH_80_60,9,3559,114356,80,60
VHI_80_SH_80_60,10,3620,114181,80,60
VHI_80_SH_80_60,11,3764,113215,80,60
VHI_80_SH_80_60,12,3655,114249,80,60
VHI_80_SH_80_60,13,3655,114712,80,60
VHI_80_SH_80_60,14,3610,114291,80,60
VHI_80_SH_80_60,15,3820,114322,80,60
VHI_90_SH_90_30,1,8056,110108,90,30
VHI_90_SH_90_30,2,7298,110653,90,30
VHI_90_SH_90_30,3,8201,108920,90,30
VHI_90_SH_90_30,4,10056,107989,90,30
VHI_90_SH_90_30,5,7519,110193,90,30
VHI_90_SH_90_30,6,6827,111577,90,30
VHI_90_SH_90_30,7,9355,108396,90,30
VHI_90_SH_90_30,8,6106,111039,90,30
VHI_90_SH_90_30,9,13153,104762,90,30
VHI_90_SH_90_30,10,6399,111402,90,30
VHI_90_SH_90_30,11,10453,106526,90,30
VHI_90_SH_90_30,12,16763,101141,90,30
VHI_90_SH_90_30,13,11031,107336,90,30
VHI_90_SH_90_30,14,8440,109461,90,30
VHI_90_SH_90_30,15,14126,104016,90,30
VHI_90_SH_90_45,1,3284,114880,90,45
VHI_90_SH_90_45,2,3248,114703,90,45
VHI_90_SH_90_45,3,3301,113820,90,45
VHI_90_SH_90_45,4,3238,114807,90,45
VHI_90_SH_90_45,5,4105,113607,90,45
VHI_90_SH_90_45,6,3568,114836,90,45
VHI_90_SH_90_45,7,3437,114314,90,45
VHI_90_SH_90_45,8,6161,110984,90,45
VHI_90_SH_90_45,9,3213,114702,90,45
VHI_90_SH_90_45,10,3416,114385,90,45
VHI_90_SH_90_45,11,3693,113286,90,45
VHI_90_SH_90_45,12,3560,114344,90,45
VHI_90_SH_90_45,13,3321,115046,90,45
VHI_90_SH_90_45,14,6403,111498,90,45
VHI_90_SH_90_45,15,3436,114706,90,45
VHI_90_SH_90_60,1,3591,114573,90,60
VHI_90_SH_90_60,2,3222,114729,90,60
VHI_90_SH_90_60,3,3216,113905,90,60
VHI_90_SH_90_60,4,3454,114591,90,60
VHI_90_SH_90_60,5,3214,114498,90,60
VHI_90_SH_90_60,6,3312,115092,90,60
VHI_90_SH_90_60,7,3539,114212,90,60
VHI_90_SH_90_60,8,3525,113620,90,60
VHI_90_SH_90_60,9,3403,114512,90,60
VHI_90_SH_90_60,10,3389,114412,90,60
VHI_90_SH_90_60,11,3407,113572,90,60
VHI_90_SH_90_60,12,3302,114602,90,60
VHI_90_SH_90_60,13,3364,115003,90,60
VHI_90_SH_90_60,14,3244,114657,90,60
VHI_90_SH_90_60,15,3352,114790,90,60
