intervention,sector,short,loss
VHI_70_SH_70_30,51,information,61348.7585602787
VHI_70_SH_70_45,51,information,82774.1013498536
VHI_70_SH_70_60,51,information,104769.520199887
VHI_80_SH_80_30,51,information,62777.3126089364
VHI_80_SH_80_45,51,information,88057.8523440114
VHI_80_SH_80_60,51,information,115978.773056722
VHI_90_SH_90_30,51,information,66233.3088281816
VHI_90_SH_90_45,51,information,96419.3533512181
VHI_90_SH_90_60,51,information,127439.930725437
none,52,finance,30441.8871022412
VHI_60_SH_60_30,52,finance,106183.235870704
VHI_60_SH_60_45,52,finance,145719.464619347
VHI_60_SH_60_60,52,finance,182937.179052577
VHI_70_SH_70_30,52,finance,114892.523295974
VHI_70_SH_70_45,52,finance,153893.814182901
VHI_70_SH_70_60,52,finance,194125.32847221
VHI_80_SH_80_30,52,finance,116800.09533742
VHI_80_SH_80_45,52,finance,163863.545794839
VHI_80_SH_80_60,52,finance,215937.533333218
VHI_90_SH_90_30,52,finance,123265.437926778
VHI_90_SH_90_45,52,finance,180004.773419183
VHI_90_SH_90_60,52,finance,238209.823942837
none,53,housing,9767.29907108596
VHI_60_SH_60_30,53,housing,48675.1574379333
VHI_60_SH_60_45,53,housing,68562.5016899668
VHI_60_SH_60_60,53,housing,87700.2601707638
VHI_70_SH_70_30,53,housing,53651.8619431873
VHI_70_SH_70_45,53,housing,74275.4084642362
VHI_70_SH_70_60,53,housing,95357.0398836151
VHI_80_SH_80_30,53,housing,56265.6733378439
VHI_80_SH_80_45,53,housing,80334.1701044583
VHI_80_SH_80_60,53,housing,106009.319523286
VHI_90_SH_90_30,53,housing,60203.1016356927
VHI_90_SH_90_45,53,housing,88028.018021071
VHI_90_SH_90_60,53,housing,116336.853656613
none,54,professional,38089.585808148
VHI_60_SH_60_30,54,professional,132670.082900454
VHI_60_SH_60_45,54,professional,182132.721286832
VHI_60_SH_60_60,54,professional,228682.392525503
VHI_70_SH_70_30,54,professional,143639.802328208
VHI_70_SH_70_45,54,professional,191887.610896761
VHI_70_SH_70_60,54,professional,241641.398601959
VHI_80_SH_80_30,54,professional,145312.78788531
VHI_80_SH_80_45,54,professional,202716.039301492
VHI_80_SH_80_60,54,professional,266729.924349747
VHI_90_SH_90_30,54,professional,152364.936692373
VHI_90_SH_90_45,54,professional,221262.051235656
VHI_90_SH_90_60,54,professional,292200.348704472
none,55,management,10709.8013961257
VHI_60_SH_60_30,55,management,33508.7707245009
VHI_60_SH_60_45,55,management,45505.072259993
VHI_60_SH_60_60,55,management,56702.5146238967
VHI_70_SH_70_30,55,management,36010.4966532458
VHI_70_SH_70_45,55,management,47417.8607108051
VHI_70_SH_70_60,55,management,59282.3656403755
VHI_80_SH_80_30,55,management,35883.117005616
VHI_80_SH_80_45,55,management,49762.3793074917
VHI_80_SH_80_60,55,management,65423.0232695029
VHI_90_SH_90_30,55,management,37440.2886546915
VHI_90_SH_90_45,55,management,54443.2089283842
VHI_90_SH_90_60,55,management,71953.0391664504
none,56,administrative,17538.2070412885
VHI_60_SH_60_30,56,administrative,93713.7125565895
VHI_60_SH_60_45,56,administrative,132759.693658835
VHI_60_SH_60_60,56,administrative,170441.393782734
VHI_70_SH_70_30,56,administrative,103774.640154842
VHI_70_SH_70_45,56,administrative,143625.90204521
VHI_70_SH_70_60,56,administrative,184335.006303876
VHI_80_SH_80_30,56,administrative,105359.280339918
VHI_80_SH_80_45,56,administrative,146694.212920293
VHI_80_SH_80_60,56,administrative,190857.19362141
VHI_90_SH_90_30,56,administrative,107867.25904799
VHI_90_SH_90_45,56,administrative,151713.604532807
VHI_90_SH_90_60,56,administrative,196401.671191861
none,61,education,7460.53576136709
VHI_60_SH_60_30,61,education,25351.3912474025
VHI_60_SH_60_45,61,education,34714.3316381738
VHI_60_SH_60_60,61,education,43509.0495156881
VHI_70_SH_70_30,61,education,27345.0767114704
VHI_70_SH_70_45,61,education,36484.051354668
VHI_70_SH_70_60,61,education,45960.370095097
