sector,short,date,loss
11,agriculture,2020-01-31,0.0000565874641991509
11,agriculture,2020-02-01,0.0000970318094912488
11,agriculture,2020-02-02,0.000125989623940085
11,agriculture,2020-02-03,0.000146762036547806
11,agriculture,2020-02-04,0.000161692132985114
11,agriculture,2020-02-05,0.000145910579309487
11,agriculture,2020-02-06,0.000142908061351037
11,agriculture,2020-02-07,0.000127194863446996
11,agriculture,2020-02-08,0.000123125507290744
11,agriculture,2020-02-09,0.00012010268311479
11,agriculture,2020-02-10,0.000117918429871374
11,agriculture,2020-02-11,0.00011639677425123
11,agriculture,2020-02-12,0.000109988762705958
11,agriculture,2020-02-13,0.0000961898031303184
11,agriculture,2020-02-14,0.0000865443010440493
11,agriculture,2020-02-15,0.0000704120450157345
11,agriculture,2020-02-16,0.0000634803032534142
11,agriculture,2020-02-17,0.0000583910913079963
11,agriculture,2020-02-18,0.000054633947685657
11,agriculture,2020-02-19,0.0000562987087923454
11,agriculture,2020-02-20,0.0000661531670766133
11,agriculture,2020-02-21,0.0000726986327160525
11,agriculture,2020-02-22,0.0000771118004989785
11,agriculture,2020-02-23,0.0000801384232631874
11,agriculture,2020-02-24,0.0000822784949406156
11,agriculture,2020-02-25,0.0000843722120531347
11,agriculture,2020-02-26,0.0000847134340754053
11,agriculture,2020-02-27,0.00010475636663218
11,agriculture,2020-02-28,0.000149982892814039
11,agriculture,2020-02-29,0.000201424299607592
11,agriculture,2020-03-01,0.000267217635594955
11,agriculture,2020-03-02,0.000378761224927403
11,agriculture,2020-03-03,0.000528943548236669
11,agriculture,2020-03-04,0.000741286213594954
11,agriculture,2020-03-05,0.00103049055957646
11,agriculture,2020-03-06,0.00143597345280804
11,agriculture,2020-03-07,0.00201905977888906
11,agriculture,2020-03-08,0.00281786198738202
11,agriculture,2020-03-09,0.00382944429948087
11,agriculture,2020-03-10,0.00519718149345196
11,agriculture,2020-03-11,0.00705805180897499
11,agriculture,2020-03-12,0.00953088936964044
11,agriculture,2020-03-13,0.012822503475418
11,agriculture,2020-03-14,0.0171480681022098
11,agriculture,2020-03-15,0.0227470716325718
11,agriculture,2020-03-16,0.0298214290528634
11,agriculture,2020-03-17,0.0390038407489634
11,agriculture,2020-03-18,0.0511711922104109
11,agriculture,2020-03-19,0.0669783631752338
