cell,rep,total_infections,averted,shcomp,duration
VHI_70_SH_70_45,5,39468234,76746239,70,45
VHI_70_SH_70_45,6,42334001,73881477,70,45
VHI_70_SH_70_45,7,43507969,72682227,70,45
VHI_70_SH_70_45,8,48114086,67505884,70,45
VHI_70_SH_70_45,9,44827538,71371143,70,45
VHI_70_SH_70_45,10,42566696,73624345,70,45
VHI_70_SH_70_45,11,39353653,76253690,70,45
VHI_70_SH_70_45,12,29674072,86523919,70,45
VHI_70_SH_70_45,13,43404536,72810860,70,45
VHI_70_SH_70_45,14,48607446,67596303,70,45
VHI_70_SH_70_45,15,48944886,67270832,70,45
VHI_70_SH_70_60,1,8380977,107825230,70,60
VHI_70_SH_70_60,2,13467713,102735475,70,60
VHI_70_SH_70_60,3,19043994,96573447,70,60
VHI_70_SH_70_60,4,20296753,95900960,70,60
VHI_70_SH_70_60,5,9263119,106951354,70,60
VHI_70_SH_70_60,6,8802443,107413035,70,60
VHI_70_SH_70_60,7,18713448,97476748,70,60
VHI_70_SH_70_60,8,18445247,97174723,70,60
VHI_70_SH_70_60,9,12512124,103686557,70,60
VHI_70_SH_70_60,10,20721464,95469577,70,60
VHI_70_SH_70_60,11,15186428,100420915,70,60
VHI_70_SH_70_60,12,17411220,98786771,70,60
VHI_70_SH_70_60,13,6628561,109586835,70,60
VHI_70_SH_70_60,14,13410317,102793432,70,60
VHI_70_SH_70_60,15,13988958,102226760,70,60
VHI_80_SH_80_30,1,37975164,78231043,80,30
VHI_80_SH_80_30,2,36284260,79918928,80,30
VHI_80_SH_80_30,3,36385126,79232315,80,30
VHI_80_SH_80_30,4,35890400,80307313,80,30
VHI_80_SH_80_30,5,42162196,74052277,80,30
VHI_80_SH_80_30,6,34918626,81296852,80,30
VHI_80_SH_80_30,7,30534695,85655501,80,30
VHI_80_SH_80_30,8,32063667,83556303,80,30
VHI_80_SH_80_30,9,21204466,94994215,80,30
VHI_80_SH_80_30,10,31998175,84192866,80,30
VHI_80_SH_80_30,11,33809227,81798116,80,30
VHI_80_SH_80_30,12,26443531,89754460,80,30
VHI_80_SH_80_30,13,33204560,83010836,80,30
VHI_80_SH_80_30,14,47013755,69189994,80,30
VHI_80_SH_80_30,15,34659407,81556311,80,30
VHI_80_SH_80_45,1,6187166,110019041,80,45
VHI_80_SH_80_45,2,13622350,102580838,80,45
VHI_80_SH_80_45,3,15456031,100161410,80,45
VHI_80_SH_80_45,4,3776470,112421243,80,45
VHI_80_SH_80_45,5,5696032,110518441,80,45
VHI_80_SH_80_45,6,12769885,103445593,80,45
VHI_80_SH_80_45,7,5138687,111051509,80,45
VHI_80_SH_80_45,8,7810277,107809693,80,45
VHI_80_SH_80_45,9,4011950,112186731,80,45
VHI_80_SH_80_45,10,8263840,107927201,80,45
VHI_80_SH_80_45,11,10338273,105269070,80,45
VHI_80_SH_80_45,12,11278768,104919223,80,45
VHI_80_SH_80_45,13,7868821,108346575,80,45
VHI_80_SH_80_45,14,3944855,112258894,80,45
VHI_80_SH_80_45,15,13064439,103151279,80,45
VHI_80_SH_80_60,1,3669174,112537033,80,60
VHI_80_SH_80_60,2,4053308,112149880,80,60
VHI_80_SH_80_60,3,3978665,111638776,80,60
VHI_80_SH_80_60,4,5577831,110619882,80,60
VHI_80_SH_80_60,5,4001126,112213347,80,60
VHI_80_SH_80_60,6,3800494,112414984,80,60
VHI_80_SH_80_60,7,3785215,112404981,80,60
